Lon,Lat,TMI,RTP,RTP_1VD,Gravity,Potassium,Uranium,Thorium
147.5944,-34.682,20.713749,122.67353,0.03769021,-222.31577,1.0036542,1.6762469,13.312036
147.59480007369197,-34.681599915415525,20.871664,122.12797,0.033660088,-222.36856,0.9999938,1.5964415,13.077322
147.59520014738393,-34.68119983083105,20.699118,120.19883,0.016737655,-221.92747,0.9815105,1.5498016,12.968199
147.5956002210759,-34.680799746246564,20.158945,117.72682,-0.005637372,-220.83421,0.9641246,1.5390259,12.699212
147.5960002947679,-34.680399661662086,19.338972,116.33771,-0.01889988,-218.99576,0.9570893,1.5535147,12.25995
147.59640036845985,-34.67999957707761,18.398577,117.256226,-0.011371602,-216.41443,0.9551649,1.5755117,11.959615
147.59680044215182,-34.67959949249313,17.51583,119.988304,0.010984208,-213.2214,0.9494497,1.578182,12.05299
147.59720051584378,-34.67919940790865,16.840948,123.09225,0.031630263,-209.66533,0.9448229,1.5438993,12.364451
147.59760058953574,-34.67879932332417,16.523457,125.65548,0.047424644,-206.06725,0.95220757,1.4873773,12.548406
147.5980006632277,-34.67839923873969,16.71113,127.32513,0.060927298,-202.73042,0.98293096,1.4387087,12.60387
147.59840073691967,-34.677999154155216,17.502028,126.48003,0.059621092,-199.79196,1.0486029,1.4362481,12.837518
147.59880081061166,-34.67759906957074,18.880585,122.71303,0.032450195,-197.2772,1.1389936,1.5108061,13.263281
147.59920088430363,-34.677198984986255,20.600878,118.1596,0.0012481211,-195.08957,1.2014371,1.6111895,13.44727
147.5996009579956,-34.67679890040178,22.344934,114.5934,-0.0146897705,-193.06837,1.1856788,1.6269908,13.317908
147.60000103168755,-34.6763988158173,23.9576,112.34819,-0.019256046,-191.06812,1.1132855,1.5472779,13.30276
147.60040110537952,-34.67599873123282,25.40264,111.12495,-0.018594697,-189.01402,1.045932,1.4862164,13.501604
147.60080117907148,-34.67559864664834,26.635302,110.58716,-0.01587941,-186.91446,1.0066369,1.5090011,13.648437
147.60120125276345,-34.67519856206386,27.620438,110.46588,-0.011408305,-184.8336,0.9766061,1.564433,13.672821
147.60160132645544,-34.674798477479385,28.380955,110.36106,-0.005990938,-182.90128,0.9343992,1.5932665,13.648103
147.6020014001474,-34.67439839289491,28.943825,109.836914,-0.0071357395,-181.3218,0.8798023,1.5988644,13.501039
147.60240147383936,-34.67399830831043,29.211065,108.98427,-0.0120870685,-180.31909,0.83184975,1.6242026,13.22341
147.60280154753133,-34.673598223725946,28.971254,108.23483,-0.014375947,-180.11118,0.80991554,1.6783305,13.026334
